FileName;SIB nodes;SCB nodes;TDR nodes;Max Depth;Total TDR Lenght;Sessions;digging Alg conf time ;Hollowing Alg conf time ;test time;Digging TotalTime;Hollowing TotalTime;ON DIAGNOSIS;TDR DC before new Sessions;SCB-SIB DC before new Sessions;Added Sessions;TDR DC after new Sessions;SCB-SIB DC after new Sessions;NoneTestable TDRs;NoneTestable SIBs;NoneTestable SCBs;Testability;Diagnosis Time;Diagnosis Config Time;Diagnosis Total Time;NonTestet Nodes
N49D0_v2;16;18;31;1;1080;2;1821;1381;3257;5078;4638;;225 of 465    48.3870967741936%;22 of 561    3.92156862745098%;37;105 of 465    22.5806451612903%;0 of 561    0%;15;0;0;76.9230769230769%;97525;68816;263866;TDR 48;TDR 45;TDR 42;TDR 40;TDR 34;TDR 30;TDR 25;TDR 20;TDR 17;TDR 14;TDR 13;TDR 12;TDR 8;TDR 4;TDR 3;
N61D2_v2;11;21;40;2;1354;4;5131;3127;7607;12738;10734;;305 of 780    39.1025641025641%;8 of 496    1.61290322580645%;20;260 of 780    33.3333333333333%;0 of 496    0%;34;0;0;52.7777777777778%;139419;54442;333280;TDR 60;TDR 59;TDR 57;TDR 56;TDR 55;TDR 52;TDR 51;TDR 49;TDR 48;TDR 47;TDR 42;TDR 41;TDR 39;TDR 38;TDR 36;TDR 33;TDR 32;TDR 27;TDR 26;TDR 25;TDR 15;TDR 14;TDR 11.t;TDR 10;TDR 4.t;TDR 31.t;TDR 20.t;TDR 7.t;TDR 12;TDR 8;TDR 3;TDR 30;TDR 19;TDR 6;
N88D8_v2;32;32;56;4;1949;5;6533;4074;12134;18667;16208;;378 of 1540    24.5454545454545%;26 of 2016    1.28968253968254%;44;68 of 1540    4.41558441558442%;0 of 2016    0%;37;0;0;69.1666666666667%;916098;233604;2065800;TDR 83;TDR 82;TDR 75;TDR 66;TDR 57;TDR 48;TDR 42;TDR 34;TDR 30;TDR 13.t;TDR 5;TDR 3.t;TDR 74.t;TDR 70.t;TDR 59.t;TDR 55.t;TDR 53.t;TDR 51.t;TDR 37.t;TDR 29.t;TDR 28.t;TDR 26.t;TDR 9.t;TDR 0;TDR 12;TDR 2;TDR 72;TDR 69;TDR 58;TDR 54;TDR 52;TDR 49;TDR 35;TDR 23;TDR 27;TDR 25;TDR 8;
A586710_FLAT_v2;5;0;5;1;41966;2;41991;41986;125942;167933;167928;;10 of 10    100%;0 of 10    0%;4;0 of 10    0%;0 of 10    0%;0;0;0;100%;1198737;713622;3111096;
A586710_HIER_v2;6;0;6;2;41966;3;42014;41998;167935;209949;209933;;10 of 15    66.6666666666667%;0 of 15    0%;4;0 of 15    0%;0 of 15    0%;0;0;0;100%;1560000;759326;3879326;
F2126_FLAT_v2;4;0;4;1;15205;2;15227;15223;45655;60882;60878;;6 of 6    100%;1 of 6    16.6666666666667%;3;0 of 6    0%;0 of 6    0%;0;0;0;100%;293822;195739;783383;
P22810_FLAT_v2;28;0;28;1;30885;2;30979;30951;92791;123770;123742;;378 of 378    100%;1 of 378    0.264550264550265%;27;0 of 378    0%;0 of 378    0%;0;0;0;100%;19171383;3365187;41707953;
P22810_HIER_v2;30;0;30;2;30885;3;31043;30984;123750;154793;154734;;379 of 435    87.1264367816092%;1 of 435    0.229885057471264%;28;0 of 435    0%;0 of 435    0%;0;0;0;100%;21525585;3550662;46601832;
P34392_FLAT_v2;19;0;19;1;23456;2;23523;23504;70468;93991;93972;;171 of 171    100%;5 of 171    2.92397660818713%;18;0 of 171    0%;0 of 171    0%;0;0;0;100%;7379591;1712418;16471600;
P34392_HIER_v2;22;0;22;2;23456;3;23556;23522;93977;117533;117499;;174 of 231    75.3246753246753%;5 of 231    2.16450216450216%;20;0 of 231    0%;0 of 231    0%;0;0;0;100%;9359281;1946722;20665284;
p93791_HIER_v2;49;0;49;3;97808;4;98077;97972;489428;587505;587400;;584 of 1176    49.6598639455782%;5 of 1176    0.425170068027211%;46;0 of 1176    0%;0 of 1176    0%;0;0;0;100%;123918813;25254165;273091791;
p93791_v2;33;0;33;1;97808;2;97917;97884;293580;391497;391464;;528 of 528    100%;5 of 528    0.946969696969697%;32;0 of 528    0%;0 of 528    0%;0;0;0;100%;57482789;12618372;127583950;
T512505_FLAT_v2;31;0;31;1;76554;2;76657;76626;229810;306467;306436;;465 of 465    100%;2 of 465    0.43010752688172%;30;0 of 465    0%;0 of 465    0%;0;0;0;100%;86408666;9351026;182168358;
U226_FLAT_v2;5;0;5;1;1288;2;1313;1308;3908;5221;5216;;10 of 10    100%;3 of 10    30%;4;0 of 10    0%;0 of 10    0%;0;0;0;100%;50271;21890;122432;
