FileName;SIB nodes;SCB nodes;TDR nodes;Max Depth;Total TDR Lenght;Sessions;digging Alg conf time ;Hollowing Alg conf time ;test time;Digging TotalTime;Hollowing TotalTime;ON DIAGNOSIS;TDR DC before new Sessions;SCB-SIB DC before new Sessions;Added Sessions;TDR DC after new Sessions;SCB-SIB DC after new Sessions;NoneTestable TDRs;NoneTestable SIBs;NoneTestable SCBs;Testability;Diagnosis Time;Diagnosis Config Time;Diagnosis Total Time;NonTestet Nodes
N61D2;11;21;40;2;1354;4;5270;3207;7771;13041;10978;;257 of 406    63.3004926108374%;1 of 496    0.201612903225806%;2;254 of 406    62.5615763546798%;1 of 496    0.201612903225806%;25;2;0;55.7377049180328%;35509;12518;83536;TDR 60;TDR 59;TDR 57;TDR 56;TDR 55;TDR 52;TDR 51;TDR 49;TDR 48;TDR 47;TDR 42;TDR 41;TDR 39;TDR 38;TDR 36;TDR 33;TDR 32;TDR 27;TDR 26;TDR 25;TDR 15;TDR 14;TDR 10;SIB 35;TDR 12;TDR 8;SIB 31;
N88D8;32;32;56;4;1949;5;6729;4188;12408;19137;16596;;77 of 276    27.8985507246377%;8 of 2016    0.396825396825397%;9;55 of 276    19.9275362318841%;6 of 2016    0.297619047619048%;11;9;0;77.2727272727273%;235046;56694;526786;TDR 83;TDR 82;TDR 75;TDR 66;TDR 57;TDR 48;TDR 42;TDR 34;TDR 30;TDR 5;SIB 87;SIB 86;SIB 74;SIB 62;SIB 29;TDR 0;SIB 63;SIB 59;SIB 70;SIB 22;
test;3;3;4;2;95;3;222;158;431;653;589;;1 of 3    33.3333333333333%;0 of 15    0%;1;0 of 3    0%;0 of 15    0%;0;0;0;100%;1144;661;2949;
A586710_FLAT;5;0;5;1;41966;2;41991;41986;125942;167933;167928;;0 of 0    0%;0 of 10    0%;0;0 of 0    0%;0 of 10    0%;0;0;0;100%;211878;125942;549698;
A586710_HIER;6;0;5;2;41966;3;42014;41998;167935;209949;209933;;0 of 0    0%;0 of 15    0%;0;0 of 0    0%;0 of 15    0%;0;0;0;100%;361525;167935;890985;
F2126_FLAT;4;0;4;1;15205;2;15227;15223;45655;60882;60878;;0 of 0    0%;1 of 6    16.6666666666667%;0;0 of 0    0%;1 of 6    16.6666666666667%;0;2;0;50%;65912;45655;177479;SIB 4;SIB 5;
P22810_FLAT;28;0;28;1;30885;2;30979;30951;92791;123770;123742;;0 of 0    0%;1 of 378    0.264550264550265%;0;0 of 0    0%;1 of 378    0.264550264550265%;0;2;0;92.8571428571429%;679428;92791;1451647;SIB 17;SIB 25;
P22810_HIER;30;0;28;2;30885;3;31043;30984;123750;154793;154734;;0 of 0    0%;1 of 435    0.229885057471264%;0;0 of 0    0%;1 of 435    0.229885057471264%;0;2;0;93.3333333333333%;1020342;123750;2164434;SIB 17;SIB 25;
P34392_FLAT;19;0;19;1;23456;2;23523;23504;70468;93991;93972;;0 of 0    0%;5 of 171    2.92397660818713%;0;0 of 0    0%;5 of 171    2.92397660818713%;0;7;0;63.1578947368421%;375660;70468;821788;SIB 5;SIB 6;SIB 7;SIB 15;SIB 9;SIB 20;SIB 18;
P34392_HIER;22;0;19;2;23456;3;23556;23522;93977;117533;117499;;0 of 0    0%;5 of 231    2.16450216450216%;1;0 of 0    0%;2 of 231    0.865800865800866%;0;4;0;81.8181818181818%;656117;140611;1452845;SIB 15;SIB 5;SIB 18;SIB 9;
p93791;33;0;32;1;97808;2;97917;97884;293580;391497;391464;;0 of 0    0%;5 of 528    0.946969696969697%;0;0 of 0    0%;5 of 528    0.946969696969697%;0;10;0;69.6969696969697%;1724352;293580;3742284;SIB 3;SIB 8;SIB 10;SIB 19;SIB 23;SIB 4;SIB 9;SIB 31;SIB 22;SIB 27;
p93791_HIER;49;0;32;3;97808;4;98077;97972;489428;587505;587400;;0 of 0    0%;5 of 1176    0.425170068027211%;3;0 of 0    0%;2 of 1176    0.170068027210884%;0;4;0;91.8367346938776%;7909280;1542203;17360763;SIB 3;SIB 8;SIB 4;SIB 9;
T512505_FLAT;31;0;31;1;76554;2;76657;76626;229810;306467;306436;;0 of 0    0%;2 of 465    0.43010752688172%;0;0 of 0    0%;2 of 465    0.43010752688172%;0;4;0;87.0967741935484%;2700586;229810;5630982;SIB 20;SIB 22;SIB 21;SIB 23;
U226_FLAT;5;0;5;1;1288;2;1313;1308;3908;5221;5216;;0 of 0    0%;3 of 10    30%;0;0 of 0    0%;3 of 10    30%;0;3;0;40%;9784;3908;23476;SIB 5;SIB 6;SIB 7;
